postalCode,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count
43219,36813,30526,30.4,19975,9967,1173
43235,76250,42673,36.7,43243,2965,711
61115,60213,22574,38.9,27313,1806,822
61455,42013,20698,27.9,21959,4697,755
17970,39659,3139,45.6,22084,448,193
17972,55932,11238,44.6,29003,640,347
17815,50491,30375,32.9,25434,4358,624
17512,46362,17701,40.5,27365,2796,462
17517,70151,16501,38.4,29415,1203,360
60901,47629,35509,36.9,23460,8213,1356
60435,54372,49863,35.9,25661,6932,1773
60031,93028,37172,39.3,43384,1903,1094
60025,97881,41014,44.2,53918,2497,800
62040,49182,42447,41.2,25627,7538,1698
60804,47487,83147,30,17221,14954,2600
2136,64784,34223,38.6,30178,4863,1583
2138,95368,38835,28.6,55695,3159,1111
1754,101324,10600,44.4,49298,548,73
90047,47477,48883,40,24189,8990,2386
91351,80397,32572,36.3,30280,3124,1303
30188,77454,63171,38.8,36677,4155,1527
84040,93182,23687,35.9,35117,694,507
90266,150083,35573,43.9,93616,1155,928
95341,37105,32446,27.1,15643,11035,1708
90006,35411,61698,33.2,16383,17326,2769
95350,49832,53098,37.7,25543,9287,2140
90746,84523,26996,42.2,32749,2406,1174
93618,42665,31230,27.8,16411,7890,1519
94303,103680,48039,34,49065,4437,1181
95825,37956,35825,31.8,24738,11710,2146
95691,73086,37906,34.7,32343,5417,1159
94591,80888,55334,40.1,34621,5127,2581
91201,58004,23619,42,32925,2941,923
91709,104590,79298,37.3,37492,5557,2268
94547,110476,25343,40.2,42830,1050,567
91803,60394,30385,41.9,27343,4067,678
92704,65645,90340,32.6,20145,14170,2226
93955,61445,34395,32.4,24851,4897,1039
95776,77699,23375,33.2,29937,3157,481
95076,63979,86703,32.2,24596,13093,3402
44278,69657,17951,46.6,33635,1492,467
43123,67872,65442,38.4,32037,5482,1334
44509,27521,11911,37.2,20278,4690,594
48030,35817,16592,37.4,20784,4055,678
48205,36307,33953,30.5,16891,9080,3555
44223,62233,17722,46.7,34662,1196,346
44708,52607,25541,43.6,32271,3310,930
20740,67163,31848,26.2,29643,6192,854
78945,58956,10463,44.2,28542,1249,45
47331,42741,22508,42.5,23618,4184,503
78384,26167,5622,37.9,16503,1883,238
33844,39759,35280,38.8,18895,7676,803
33430,24840,22603,31.4,12563,9474,1331
62401,53170,18722,39.5,31619,2625,441
93711,71825,38349,43.1,45889,3825,1621
93720,84614,47270,37.5,41127,4305,1572
94087,153036,57219,38.6,69982,2535,1192
94533,67442,75635,34.2,28050,8724,3022
94523,109161,35096,39.8,51967,2646,838
94523,109161,35096,39.8,51967,2646,838
30101,88809,58041,38.2,36860,4016,1685
30066,90034,55548,41.3,41828,3546,1411
93631,65466,16349,34.9,29953,2717,483
93449,88003,8116,55,60148,468,111
93433,68333,13538,36.2,31949,1839,382
93444,83222,20775,43.8,37217,1753,643
93305,31454,38725,27.1,12467,16585,2502
93301,35412,12028,30.8,21747,3874,907
93274,52096,73778,29.2,20659,14998,2096
93274,52096,73778,29.2,20659,14998,2096
32601,25481,18579,25,19893,7484,716
17362,70816,13300,44.8,34262,979,219
17268,54321,29426,41.7,28049,3769,775
16874,62768,1388,44.6,27618,123,25
16933,48038,6783,39.6,25507,1361,185
17011,75352,36306,40.2,35022,2028,584
16673,55869,5587,40.9,27720,595,143
16506,63376,24118,44.1,35170,1740,569
16509,59304,27566,43.3,34619,2219,499
16510,51751,25735,40,26340,4737,878
16354,41760,10902,42,22466,2071,324
97503,53883,12338,35.3,20010,2167,437
97068,104618,29693,43.6,53035,1562,759
97068,104618,29693,43.6,53035,1562,759
97060,67239,22609,33.7,28712,3006,671
54913,82390,20699,39.8,44190,754,223
19701,84591,38941,40.4,39463,2194,1718
97478,54641,39440,39.1,26746,6016,1612
97301,39670,55448,33.6,18956,12161,2245
97304,66438,31701,39.3,32569,2838,1173
97306,65570,32255,37.8,33590,3033,591
32571,71494,35388,36.3,29321,3344,643
31313,47668,40916,28.9,21536,6864,2163
31313,47668,40916,28.9,21536,6864,2163
32566,78368,38112,37.9,33808,3477,962
30501,45910,29629,31.2,21916,6957,339
97470,44363,20269,42.5,24036,3800,681
30643,39993,16009,43,22513,2639,279
31036,41023,12322,42.7,21840,2751,152
97756,59077,37540,40.8,27320,4574,1226
97266,48138,34953,36.6,22611,7206,1262
97232,59807,12419,36.2,49790,1236,253
97233,39957,41047,32.3,17892,10996,1909
30501,45910,29629,31.2,21916,6957,339
97220,51575,30695,36.9,25829,4706,1083
30542,73607,37056,40.1,31991,3648,703
97217,74094,34813,36.9,38833,4567,884
31750,34426,18322,40,18145,5378,369
30635,38369,14964,42.5,23777,2681,423
97211,78154,34962,36,38143,4035,1274
97222,58998,36988,39,30396,4636,1232
97204,11763,1100,43.8,17851,378,54
97209,61070,17585,39.2,60527,2984,563
30340,48250,28028,32,23145,5595,757
97203,60908,34365,32.1,28020,6948,1307
97201,51625,18145,31.1,49825,4560,1156
97202,73924,42822,36.5,44482,4602,1363
30135,72968,66134,37.4,28736,6613,2224
30540,49265,20169,44.2,23486,3806,567
97045,76495,55968,40.6,34095,4467,1322
97801,51120,20940,38.2,24153,3135,980
30030,81331,29490,37,48279,3606,692
30135,72968,66134,37.4,28736,6613,2224
97045,76495,55968,40.6,34095,4467,1322
97914,41427,19211,36,17658,3864,482
97463,38362,3866,49.9,19102,1243,208
97365,47949,11289,45.3,26725,1915,288
30721,41547,53461,34.2,19325,10534,1809
30157,63119,49342,34.5,26369,4321,841
97504,54199,47645,41.6,30456,7628,1361
30040,94377,70510,36.9,38907,5031,1233
97504,54199,47645,41.6,30456,7628,1361
98631,37063,3529,50.5,24972,711,39
30014,48076,38445,35.3,24003,8004,1293
27856,52729,16488,45.2,28094,2308,494
28658,46977,27479,40,22824,3471,765
30013,61085,26368,38.8,29517,2683,1292
27030,36859,35843,44.7,22717,6440,748
28117,85591,39278,41.8,50193,2376,952
28655,43435,54594,43.4,23594,9698,2131
31904,49482,33908,35.9,31409,6990,1436
28504,47856,21852,44.5,26720,3816,883
30120,58240,41253,37,26655,6921,1304
30116,54823,24161,38.2,26755,2936,761
39216,42581,3998,38.5,38650,661,178
28580,37156,12874,39.9,17566,2999,482
92704,65645,90340,32.6,20145,14170,2226
92704,65645,90340,32.6,20145,14170,2226
92705,101711,46470,38.9,47269,3770,822
27613,96185,42933,38.5,49778,1760,796
59047,46808,12530,45,32556,1503,183
59722,49005,5737,43.5,23991,563,19
27909,48277,39515,38.2,23708,5999,1187
28117,85591,39278,41.8,50193,2376,952
27577,46508,25330,41.4,21884,4465,760
28213,43984,40724,32.7,24691,8142,1511
28645,38697,46604,44,21486,8246,1655
39503,49895,54993,33.1,24513,10206,2156
28211,84366,30789,39.8,68244,3507,896
39202,36737,8013,30.3,29155,1486,178
27317,43754,16640,39.6,26894,2666,215
27886,35959,20450,43.5,21840,4240,720
97351,47758,10585,29.3,20653,1312,416
97031,63838,19161,39,34110,1710,409
97031,63838,19161,39,34110,1710,409
97080,72917,44722,38.6,31221,4358,1418
97305,49348,43590,32.3,20186,8362,1350
97027,61638,12568,38.6,30887,1665,423
97526,46507,35493,45.3,26169,5716,978
97439,42915,14413,59.8,28444,2498,345
97402,44762,51489,35.9,22983,9888,1842
97404,61006,34390,40.6,29342,4451,1064
97330,53610,42614,32.7,34023,9815,1484
97420,46481,27764,45.5,26788,4835,940
97702,66848,47672,40.8,35837,4572,1252
97702,66848,47672,40.8,35837,4572,1252
97103,52846,17907,44.2,28936,2020,528
97321,70404,26382,41.5,33630,2619,787
57580,50850,3998,50.1,25833,895,93
57069,40823,11970,23.8,25326,2877,449
57106,62994,46442,33.6,30631,4147,857
57201,52392,25277,38.9,30173,3233,373
57783,50658,15527,39.8,33413,1681,164
57103,58801,36033,36.1,29464,4900,814
57106,62994,46442,33.6,30631,4147,857
57702,71215,34801,46.3,41841,2094,447
57701,44895,45670,35.3,25269,9227,1211
57703,57342,16294,35,25947,1406,199
57501,64170,16876,38,34080,1714,189
57325,50795,3112,42.9,31600,483,44
56308,60251,25080,42.6,36016,2037,393
57006,53111,26315,24.9,26738,4067,627
55432,60322,30323,36.5,29356,2964,857
55317,117031,21739,38.7,56101,855,224
55420,56742,21970,37.7,29449,2608,619
54601,48073,50761,30.5,27988,10279,1372
55434,67887,30559,38.1,29398,1911,680
55119,56567,42792,33,27622,6015,1147
55408,54887,31090,30.5,39320,4448,754
55337,69993,45158,36.6,35405,3360,1231
55113,66413,41608,39.6,37670,4132,841
55378,111355,29926,35.4,43909,1710,578
24540,39847,30646,45.7,23772,5802,993
90220,53988,53703,31.4,17765,11283,2495
91910,61922,74297,37.6,27841,10043,3657
37912,36288,22815,33.2,21572,4872,611
95610,58780,45995,36.2,29122,5987,1653
95988,48493,8381,40.5,23020,1330,247
94546,91513,44272,41.3,42245,3190,1050
95008,115453,46513,40,57933,3073,780
95608,61437,61860,42.2,38483,9799,2469
84660,73631,41519,26.1,23845,2739,544
84060,105636,8488,39.3,62632,984,41
93422,82548,33806,38.6,39077,2732,581
84041,67103,51333,28.8,25101,4677,810
84737,53298,17541,38.8,22478,1797,456
94510,98940,28262,45.7,50686,1958,601
78801,42266,22647,32.8,18730,3856,571
92311,42409,33612,30.5,19801,10883,1300
90706,55729,77529,34.1,23394,10650,2388
75090,40607,24580,33.4,19053,5661,733
91706,62161,77342,34.2,18853,10739,2180
60430,73251,20227,42.3,32914,1188,530
94509,60821,66933,36.2,25688,11812,3360
60073,72175,61706,33.2,26289,5699,1662
61112,21192,66,86,25294,0,0
60071,62750,3581,41.7,33040,617,148
61354,50809,10589,46.4,30665,1185,282
61604,46813,30582,38.5,25009,5705,1372
60465,59104,17473,40.9,30209,2014,452
61554,53504,42059,40.8,28242,5352,1084
29627,42661,19301,39.7,20288,3793,534
60064,34911,15705,30.7,17413,3964,763
61761,55434,55222,24.7,27680,11889,811
60714,60708,29743,47.7,29840,2799,801
61550,76797,17787,42.8,41763,732,207
60538,78193,28451,32.5,29219,1743,863
61265,52635,43706,39.9,30575,5799,1292
20794,93872,16601,37.5,26285,374,221
60431,91333,23219,35.4,34345,1329,603
60139,65865,34364,33.7,26716,3213,1091
61032,42829,29896,44.8,26724,5285,1300
21076,116098,17204,36.7,51892,455,274
21043,118263,46932,37.8,51675,2122,811
21921,68935,44896,38.1,31810,5719,1496
21222,52339,54873,38.8,25916,8134,1991
21817,38301,4777,47.2,21768,1233,186
21045,103130,39946,36.7,43870,2691,871
21029,192367,10595,46,68935,126,138
21620,58996,13155,42.8,31616,1183,269
21228,84257,48133,43.7,40452,2825,1251
95472,87716,30762,51.4,47207,2613,948
75070,101462,98219,36.7,43661,3981,1836
71108,29937,19128,30.5,14468,7153,677
71303,52878,21809,37.1,31692,2639,647
1420,55277,40737,35.7,26190,6363,1945
1109,34329,29903,28.5,15676,7813,1318
71483,33766,10280,41.1,20615,1949,108
71220,32679,22023,37.2,18764,6376,507
70809,74117,25970,37.3,44860,1705,558
71129,40616,12993,34.2,24352,2207,448
70816,51848,42094,33.5,31446,5341,1401
70791,69190,26719,36.3,31300,2138,522
28303,39896,29414,35.1,27452,5981,805
70767,57280,15708,38.3,28385,2265,483
49508,55580,40830,35.3,25218,4114,1126
70570,30027,40006,36.4,18964,12565,908
70560,39150,40709,35.5,20485,11048,2151
21740,48136,61803,37.8,24850,11074,2242
21740,48136,61803,37.8,24850,11074,2242
21740,48136,61803,37.8,24850,11074,2242
21536,51818,4145,43,24947,460,23
21502,44375,42583,42.9,23461,6480,1478
21532,44115,15062,30.6,22529,2135,573
21244,68874,35724,35.6,33109,3264,862
21237,68034,30286,37.8,32630,2160,994
21228,84257,48133,43.7,40452,2825,1251
21224,69615,50433,33.1,37627,9004,1352
21078,75604,18097,45.1,41173,1528,757
21060,72542,34360,38.7,35007,2393,832
20906,74598,70174,40.8,35433,7076,2377
20784,67193,30184,34.7,27964,2481,1491
20783,63465,45559,31.6,22763,7222,1405
89102,35627,38637,35.6,20517,10929,1583
89434,60914,25795,41,31577,1392,759
89032,59427,44034,35.3,22865,4656,1304
89117,57954,55061,42.5,39846,6970,1817
89148,73486,52967,34.1,29925,5131,1013
89101,25245,41600,34.3,15685,12124,1790
89106,30444,26018,32.4,16293,8268,1266
89107,40605,38165,35,20205,7715,1806
89115,36050,61811,27.8,14923,18497,3255
89103,40261,52149,37.9,23287,8294,1920
89030,35028,48382,30,13874,15030,1864
89103,40261,52149,37.9,23287,8294,1920
89103,40261,52149,37.9,23287,8294,1920
89103,40261,52149,37.9,23287,8294,1920
89119,34312,52278,34.4,20230,13181,2780
89104,35484,38703,39.6,18927,9840,2045
89110,44406,71573,30.9,19112,15298,2954
89121,39528,64340,40.1,22495,12318,3723
89122,45708,49934,37,22797,8260,2585
89121,39528,64340,40.1,22495,12318,3723
89014,58369,39698,37.5,31557,4251,1601
89005,60870,15680,52.8,35101,1553,562
59901,52244,54647,39.2,28289,5781,972
59404,62554,27618,41.5,33967,2239,431
39208,49015,32424,34.7,21097,3687,1165
38614,31733,18370,33.9,17909,5839,1271
61801,31530,31157,23.6,20356,9029,1003
85364,42444,74382,31.9,20899,16894,3413
85704,55891,32351,46.4,37092,3253,909
85743,73507,30217,41.9,35919,1906,759
85705,27657,56450,34.5,17907,18443,2870
85706,34132,55352,28.4,14057,16799,2722
85711,39085,39521,35.8,22563,9499,1891
85716,40274,30313,37.4,29291,7826,1167
85283,62663,51119,33.1,30966,6772,1493
85379,77495,47791,33.9,26810,4124,1288
85250,72238,17734,48,51071,1260,276
85254,91605,46333,44.2,48816,2349,934
85040,38543,35358,28.2,14710,11170,1586
85053,53142,29976,36.7,25826,4557,947
35565,34163,13266,44.9,20194,2215,321
36037,39346,13306,39,21219,3069,372
35214,47385,18264,44.1,24268,2675,785
54303,40238,27718,33.7,21215,5521,514
54303,40238,27718,33.7,21215,5521,514
54115,76267,45700,36.3,35093,2490,618
54935,51351,42107,38.4,26968,4952,1273
48180,47370,61574,37.9,23336,10960,2611
48180,47370,61574,37.9,23336,10960,2611
48174,49466,31199,37.5,23625,5489,1390
48170,82880,39658,44.5,49124,1900,904
48124,71689,28891,40.8,35948,3052,645
48103,91962,55403,38.2,50591,3995,1115
48080,55755,22596,45,31879,2242,698
4965,48679,2068,46.5,24882,240,51
4769,37401,9162,41.2,26416,1921,204
4605,56787,13955,47.3,32017,1439,308
4073,47220,16302,39.8,24928,2524,464
37047,55156,2131,49.2,25367,250,50
37055,45675,27011,38.7,24352,4558,466
30263,55699,58705,36.9,28759,9777,1710
30265,83485,34690,39.7,38309,1925,610
30260,46834,25487,32.4,18474,3897,1100
31061,39642,43762,35.2,20853,10377,1860
31061,39642,43762,35.2,20853,10377,1860
30439,33150,10823,37.7,18712,3448,288
30253,65675,55176,35.6,28894,6481,2198
30907,66066,51984,40.8,34191,4942,1193
30062,99101,66053,40.2,44844,3618,1257
30062,99101,66053,40.2,44844,3618,1257
30060,44597,40705,32.1,20943,7956,1511
31816,33018,5231,40.8,19293,1334,112
31201,22093,8103,32.6,19880,2777,348
31210,62158,34305,37.3,38739,4843,755
31206,25542,26526,30.5,15429,10230,1433
30038,48203,39104,33.4,24281,6849,1866
30553,47169,7994,44.1,25898,1612,136
30144,68581,55820,29.9,31676,5602,1374
98374,81053,39985,36.8,35101,2834,1629
98499,41178,31234,33.6,24821,7005,1177
64503,48569,12231,39.9,24654,2306,298
63301,59406,50675,35.5,29965,4678,992
63775,54740,16966,40.1,24594,1229,315
63069,64512,15247,39.7,30428,1187,269
63132,59029,13427,35.6,39980,1167,242
65708,46845,13789,35.3,22190,2943,226
65712,44688,8588,42.5,23472,1291,266
63043,68556,22524,38.1,34525,2253,646
63501,38152,21202,25.3,22167,5102,677
64155,84614,22917,36.5,34047,909,535
64111,48105,17801,31.4,35777,2691,356
65109,59017,39417,38.6,31386,4485,859
63042,47222,19443,38.3,29910,2449,725
63026,76935,43287,40.4,36206,2639,1076
63033,54133,42991,38,27159,4282,2012
63025,105812,14334,43.2,41939,526,337
63601,36415,15106,36.9,19519,3411,533
63640,53088,29260,40.8,25141,3346,547
63841,40734,13094,43.1,22609,1946,324
65203,64629,57788,36,38047,6235,984
65203,64629,57788,36,38047,6235,984
65201,36590,45159,22.8,21293,14496,1542
65202,51287,48560,33.1,25826,7471,1193
80122,101070,33103,42.9,46772,1630,691
85017,32237,41993,26.4,13334,14062,1329
48507,35746,30996,38.1,19176,9002,1954
48505,25931,20696,36.4,14064,8417,2299
74701,41816,25267,34.1,23524,4698,582
48353,78466,6636,47.1,36127,584,197
75048,101161,25034,37.2,33546,744,608
76018,67081,31729,33.9,24577,2474,710
48329,73336,24599,44.3,35117,1782,408
74467,42182,15147,42.9,23178,2845,612
77954,55606,11939,40.7,25713,1641,334
74008,80814,28808,35.4,37263,1548,493
79109,57252,44352,36.2,33050,4214,889
76710,46477,24685,36.6,29896,3315,489
76087,95876,27089,43.2,40024,1521,459
74953,43611,12052,37.9,23331,2342,293
74033,68000,11999,32.3,27398,1077,232
74501,47268,28016,38.5,25318,4580,762
73034,84419,44647,36.5,46747,4176,876
73044,53810,23525,37.8,24974,3913,661
73110,41307,33383,33.1,21594,6464,942
73170,84789,37699,39,37787,2044,811
73160,64306,59401,33.8,28629,5016,1339
92111,69442,49369,35.2,31245,6984,2145
71801,42116,16956,37,19875,4034,359
72901,32424,20985,37.2,21032,5796,521
72034,52581,50137,29.8,28800,8987,1012
72023,60807,37819,35.9,27370,4050,629
72712,83327,53959,33.1,40065,3965,658
53548,50993,18074,39.4,27323,2849,501
21061,67128,54059,35.5,31793,4427,2001
68048,65704,12726,41.3,30395,857,272
37388,46125,25511,41,26745,3974,812
68922,57917,1467,38.9,26841,126,12
37321,37028,19345,37.8,20713,4600,702
68803,56788,24780,39.4,30717,2627,442
37377,94756,15691,43.8,45463,915,252
37343,62852,41655,42.5,36337,3658,1464
37361,57019,1349,55.1,35204,91,66
37327,52839,11711,44,23173,1584,284
37343,62852,41655,42.5,36337,3658,1464
