dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,Big4
2015-10-19T23:39:09Z,2018-04-18T14:07:20Z,110 Wisconsin St,Fast Food Restaurants,Oshkosh,US,us/wi/oshkosh/110wisconsinst/-891525969,44.02026,-88.54827,Subway,54901,WI,Subway
2016-07-08T23:10:59Z,2018-04-18T14:06:32Z,1770 W Main St,Fast Food Restaurant,Riverhead,US,us/ny/riverhead/1770wmainst/-1161002137,40.91715761,-72.70985177,McDonald's,11901,NY,McDonalds
2016-04-21T03:53:25Z,2018-04-18T14:05:46Z,10694 Overseas Hwy,Fast Food,Marathon,US,us/fl/marathon/10694overseashwy/-891525969,24.7285,-81.03929000000001,SUBWAY,33050,FL,Subway
2017-07-06T17:08:44Z,2018-04-18T14:05:44Z,5909 Muhlhauser Rd,Fast Food Restaurant,West Chester,US,us/oh/westchester/5909muhlhauserrd/-791445730,39.32195,-84.42917,Wendy's,45069,OH,Wendys
2017-07-07T16:59:27Z,2018-04-18T14:05:43Z,1718 State Rd,Fast Food Restaurant,Vermilion,US,us/oh/vermilion/1718staterd/-864103396,41.40352,-82.36484,Taco Bell,44089,OH,Taco Bell
2017-06-27T05:04:51Z,2018-04-18T14:05:39Z,1487 Route 9,Fast Food Restaurants,Clifton Park,US,us/ny/cliftonpark/1487route9/-1161002137,42.836929999999995,-73.74037,McDonald's,12065,NY,McDonalds
2016-06-20T15:44:46Z,2018-04-18T14:04:26Z,5863 S Transit Rd,Fast Food Restaurant,Lockport,US,us/ny/lockport/5863stransitrd/-1161002137,43.1398,-78.69638,McDonald's,14094,NY,McDonalds
2017-06-19T14:51:01Z,2018-04-18T14:04:25Z,1938 W 12600 S,Fast Food Restaurant,Riverton,US,us/ut/riverton/1938w12600s/-791445730,40.5228,-111.9433,Wendy's,84065,UT,Wendys
2016-04-03T00:02:12Z,2018-04-18T14:04:03Z,707 Main St,Fast Food Restaurants,Clarion,US,us/pa/clarion/707mainst/-1161002137,41.21349,-79.38179000000001,McDonald's,16214,PA,McDonalds
2017-07-19T22:17:12Z,2018-04-18T14:03:37Z,635 N Derr Dr,Fast Food Restaurant,Lewisburg,US,us/pa/lewisburg/635nderrdr/-791445730,40.970240000000004,-76.89346,Wendy's,17837,PA,Wendys
2015-10-25T18:12:38Z,2018-04-18T14:03:07Z,933 N Court St,Fast Food Restaurants,Medina,US,us/oh/medina/933ncourtst/-791445730,41.15095,-81.86341,Wendy's,44256,OH,Wendys
2016-10-13T13:30:34Z,2018-04-18T14:02:45Z,1412 4th St NW,Fast Food Restaurants,New Philadelphia,US,us/oh/newphiladelphia/14124thstnw/-791445730,40.508871,-81.451549,Wendy's,44663,OH,Wendys
2017-07-07T13:11:25Z,2018-04-18T14:02:42Z,100 Lunger Dr,Fast Food Restaurants,Bloomsburg,US,us/pa/bloomsburg/100lungerdr/-1161002137,41.00847,-76.48565,McDonald's,17815,PA,McDonalds
2015-10-20T00:05:37Z,2018-04-18T14:02:39Z,3078 Route 22,Fast Food Restaurant,Dover Plains,US,us/ny/doverplains/3078route22/-1161002137,41.73505,-73.57985,McDonald's,12522,NY,McDonalds
2017-06-19T15:44:02Z,2018-04-18T14:02:10Z,9167 Kiefer Blvd Ste C,Fast Food Restaurants,Sacramento,US,us/ca/sacramento/9167kieferblvdstec/-891525969,38.5474,-121.35942,SUBWAY,95826,CA,Subway
